,KZN WIFI HOTSPOTS,,,,,,,
,Area,Place ,Description/Mall/Centre ,Address,Provider,Time Limit,Data Capacity ,Extra Charges 
1,Amanzintoti,Access1-toti-elgro-ispot.co.za,Flats,37 Worlds View Close ,iSpot ,,,
2,Amanzintoti,ATKV Natalia Beach Resort ,Hotel,Elizaberth Avenue ,AlwaysOn,,,
3,Amanzintoti,Caltex Freshstop ,Garage ,34 Kingsway Road,Telkom,,,
4,Amanzintoti,Fresh Stop Toti Oasis ,Garage ,458 Andrew Zondo Road ,Telkom,,,
5,Amanzintoti,iSpot Southgate Amanzimtoti 1,,"Southgate, Amanzintoti ",iSpot ,,,
6,Amanzintoti,Makro ,Store ,Arbour Road  ,AlwaysOn,,,
7,Amanzintoti,Mugg & Bean ,Restaurant,Galleria Mall,Vast Networks ,,,
8,Amanzintoti,Mugg & Bean ,Restaurant,Galleria Mall,AlwaysOn,,,
9,Amanzintoti,Nedbank ,Bank,Galleria Mall,AlwaysOn,,,
10,Amanzintoti,Ninos,Restaurant ,Arbour Road  ,AlwaysOn,,,
11,Amanzintoti,Nu Metro ,Galleria Shopping Centre ,Moss Kolnik and Arbour Road ,Telkom ,,,
12,Amanzintoti,Plum Perfect,Interiors,22 Rockview Road ,Vast Networks ,,,
13,Amanzintoti,Telkom Direct Store ,Amanzintoti Mall,Beach Road ,Telkom ,,,
14,Amanzintoti,Telkom Direct Store ,Amanzintoti Mall,Beach Road ,Wireless G,,,
15,Amanzintoti,The View Guest Lodge ,Hotel,Hillside Road ,AlwaysOn,,,
16,Amanzintoti,Toti-agh-ppc-stellamaris-ispot.co.za,Hotel,73 Beach Road,iSpot ,,,
17,Amanzintoti,Toti-stm-ppc-stellamaris-ispot.co.za,Hotel,73 Beach Road,iSpot ,,,
18,Amanzintoti,Troubadour Coffee Shop,Restaurant,2 Abelia Road ,iSpot ,,,
19,Amanzintoti,Woolworths,Gallaria Mall,Arbour Road  ,Vast Networks ,,,
20,Avoca Hills,Dbn-avoca-granite-ispot.co.za,,Granite Grove ,iSpot ,,,
21,Avoca Hills,iSpot Avoca Hills Pomegranate,,Pomegranate Road,iSpot ,,,
22,Ballito ,Canelands Beach Club ,Hotel ,2 Shrimp Lane ,iSpot ,,,
23,Ballito ,Cinnamon And Silk Ballito,Restaurant ,5 Douglas Crowe Drive ,iSpot ,,,
24,Ballito ,Fairmont Zimbali Lodge ,Hotel,Zimbali Coastal Estate ,AlwaysOn,,,
25,Ballito ,Fairmont Zimbali Lodge ,Hotel,Zimbali Coastal Estate ,Vast Networks,,,
26,Ballito ,Glasfit ,Car Accessories Shop,Douglas Crow Drive ,Telkom ,,,
27,Ballito ,Hampshire Hotel,Hotel,Moffat Drive,-,Unlimited ,Uncapped ,
28,Ballito ,KFC ,Restaurant,9 Drive Inn Road ,Telkom,,,
29,Ballito ,Marshalls World of Sport ,Sport Store ,1 Moffat Drive ,Telkom ,,,
30,Ballito ,Milk Café ,Restaurant ,18 Compensation Beach Road ,-,Unlimited ,Uncapped ,
31,Ballito ,Mozambik,Boulevard Centre ,Compensation Road,Telkom ,,,
32,Ballito ,Mugg & Bean ,Restaurant ,Ballito Drive ,AlwaysOn,,,
33,Ballito ,Piccadeli-Ballito Hotspot,Restaurant,Ballito Junction Dolphin Coast ,iSpot ,,,
34,Ballito ,Primi Plantation ,Lifestyle Centre ,Cnr 398 and 445 Main Road ,-,60mis,Uncapped ,
35,Ballito ,Rage Fashion ,Ballito Junction,Leonora Drive ,Telkom ,,,
